node_id;core_id;task_id;start;end;mem_consumption
1232424;ben;8;9;10;200
1232424;ben;12;10;11;200
1232424;ben;16;11;12;200
1232424;ben;22;12;13;200
1232424;cara;4;8;9;200
1232424;cara;7;9;10;200
1232424;cara;11;10;11;200
1232424;cara;15;11;12;200
1232424;cara;20;12;13;200
1232424;cara;21;13;14;200
1232424;cara;24;14;15;200
3423;ta;0;5;6;400
3423;ta;1;6;7;400
3423;ta;2;7;8;400
3423;ta;3;8;9;400
3423;ta;6;9;10;200
3423;ta;10;10;11;200
3423;ta;14;11;12;200
3423;ta;18;12;13;200
3423;ta;19;13;14;200
3423;ta;5;14;15;400
3423;ta;9;15;16;400
3423;ta;13;16;18;400
3423;ta;17;18;19;400
3423;ta;23;19;20;400
3423;ta;25;20;21;400
3423;ta;26;21;22;400
3423;ta;27;22;23;400
3423;ta;28;23;24;400
3423;ta;29;24;24;0
